utme_score,olevel_credits,attendance_rate,study_hours,prev_gpa,family_income_level,hostel_residence,extracurricular_hours,internet_access,gender,department_load,performance_class
241.0,6.0,96.7,0.8,3.24,1,1,8.3,0,1,25.0,1
194.0,6.0,88.3,4.9,3.07,1,1,0.0,0,1,23.0,1
256.0,9.0,100.0,1.1,3.62,1,1,0.8,0,0,28.0,2
263.0,8.0,54.8,4.5,3.46,0,0,2.0,1,1,25.0,2
162.0,7.0,74.0,2.1,1.31,1,0,5.9,1,0,23.0,0
184.0,8.0,71.1,5.8,3.43,1,0,3.5,1,1,23.0,1
234.0,4.0,48.4,4.4,2.5,0,0,2.2,1,1,24.0,0
219.0,7.0,93.9,1.6,2.25,0,0,5.8,1,0,24.0,1
229.0,9.0,73.9,1.7,2.99,1,0,6.4,0,0,24.0,1
200.0,7.0,89.1,4.2,3.35,0,1,4.0,0,1,22.0,2
261.0,7.0,100.0,2.8,2.12,2,0,2.0,1,1,27.0,1
257.0,8.0,72.7,2.9,3.52,0,0,4.7,1,1,27.0,2
232.0,8.0,71.7,5.2,3.56,1,0,3.4,1,1,31.0,2
269.0,4.0,79.8,2.0,3.13,0,0,3.4,0,0,22.0,1
246.0,5.0,92.8,3.3,2.58,1,1,2.7,1,1,27.0,1
200.0,7.0,69.5,4.7,2.51,1,0,6.3,1,1,16.0,0
243.0,6.0,68.5,4.5,3.72,1,0,4.6,1,1,27.0,2
196.0,9.0,93.9,2.9,2.19,1,0,6.6,0,1,18.0,1
261.0,7.0,83.7,2.7,3.74,1,1,7.3,1,1,20.0,2
228.0,4.0,47.3,0.4,3.0,0,1,5.1,1,1,25.0,0
224.0,5.0,59.6,1.5,3.04,1,0,2.7,1,1,22.0,0
206.0,3.0,100.0,3.7,2.08,1,0,6.6,1,1,21.0,0
273.0,7.0,84.0,3.0,3.01,1,1,5.2,1,1,22.0,2
225.0,7.0,66.6,3.3,3.47,1,1,10.5,1,0,27.0,1
215.0,7.0,75.4,4.9,2.3,1,0,4.8,1,0,20.0,1
218.0,9.0,78.2,1.3,3.4,1,0,5.7,1,1,24.0,1
249.0,9.0,89.0,2.8,3.15,0,0,4.7,0,1,22.0,2
243.0,7.0,57.6,3.5,2.71,0,0,3.8,0,1,27.0,0
244.0,4.0,65.4,2.1,3.61,0,1,3.4,1,1,27.0,1
245.0,8.0,82.1,5.5,1.78,1,1,4.7,0,0,17.0,1
305.0,8.0,76.5,4.7,3.31,2,1,5.3,0,0,28.0,2
216.0,8.0,86.6,3.7,4.07,1,1,6.9,1,1,22.0,2
212.0,9.0,59.6,6.1,3.96,1,0,4.8,1,1,25.0,2
202.0,6.0,83.4,0.8,3.33,0,1,2.8,0,0,20.0,0
252.0,9.0,94.4,3.2,2.92,2,0,3.2,1,0,25.0,2
270.0,6.0,85.3,3.8,2.72,0,0,0.7,1,0,34.0,1
226.0,8.0,80.1,1.7,2.92,1,1,8.2,1,0,25.0,1
201.0,5.0,76.6,3.7,3.43,2,0,2.6,1,1,22.0,1
201.0,6.0,65.5,1.4,2.62,1,1,6.4,1,0,23.0,0
253.0,9.0,76.9,4.3,3.55,0,1,4.7,0,0,18.0,2
256.0,7.0,96.9,4.9,4.38,0,1,4.8,1,1,30.0,2
249.0,8.0,76.2,3.6,3.06,1,1,3.7,0,1,25.0,2
207.0,8.0,64.7,0.2,2.29,0,0,2.0,1,1,20.0,0
238.0,7.0,70.6,1.7,2.29,1,0,1.6,0,0,20.0,1
234.0,9.0,81.0,4.1,3.57,1,1,8.3,0,0,24.0,1
238.0,7.0,72.4,3.2,3.06,0,1,4.3,0,0,28.0,1
261.0,5.0,85.3,0.0,3.63,0,1,6.8,1,1,19.0,0
238.0,6.0,85.8,5.2,2.78,2,0,7.5,0,0,28.0,1
254.0,8.0,91.3,3.4,3.6,1,0,3.0,0,1,24.0,2
232.0,8.0,99.4,1.9,3.01,1,0,5.1,0,1,20.0,2
240.0,5.0,92.9,4.8,2.66,1,1,4.1,1,1,22.0,2
252.0,6.0,64.0,2.1,2.86,0,1,1.1,1,0,31.0,0
179.0,6.0,64.4,2.1,2.38,1,1,3.5,1,0,18.0,0
219.0,7.0,76.9,3.8,4.29,1,0,5.5,1,1,21.0,1
214.0,5.0,71.2,6.0,3.04,1,0,2.8,1,0,28.0,0
208.0,6.0,60.9,5.8,3.49,2,0,3.2,1,1,25.0,2
220.0,6.0,71.4,3.8,2.78,2,0,3.6,0,0,21.0,1
282.0,8.0,70.9,3.9,2.47,1,0,9.3,1,1,28.0,2
200.0,8.0,67.9,4.5,2.96,1,1,0.0,1,1,28.0,1
264.0,7.0,73.3,1.2,3.76,1,0,5.3,0,0,25.0,1
171.0,7.0,95.7,4.2,2.79,1,0,3.4,1,1,22.0,1
218.0,7.0,81.0,2.0,2.58,0,1,2.4,0,1,22.0,0
236.0,6.0,100.0,3.7,3.19,2,1,3.3,1,1,25.0,1
251.0,6.0,80.6,2.8,3.4,2,0,5.7,1,0,19.0,1
255.0,6.0,73.6,4.0,4.09,0,0,5.8,1,0,29.0,1
258.0,6.0,78.1,3.4,3.31,2,1,4.5,1,1,31.0,1
218.0,6.0,81.8,0.0,3.49,2,1,6.7,1,0,23.0,0
214.0,7.0,84.5,3.5,3.53,1,1,7.2,1,1,25.0,1
260.0,8.0,100.0,4.2,2.41,2,0,6.0,0,0,29.0,2
223.0,5.0,65.3,3.9,2.52,0,0,2.6,1,1,32.0,0
185.0,7.0,90.9,3.0,2.45,0,1,5.2,1,0,30.0,0
190.0,7.0,81.1,5.8,2.3,0,0,5.2,1,1,17.0,1
198.0,8.0,54.4,3.7,3.58,1,0,2.0,1,0,23.0,0
247.0,7.0,89.6,3.9,3.27,1,1,0.1,0,0,26.0,2
235.0,5.0,97.0,4.9,3.15,2,0,0.0,0,0,22.0,2
254.0,5.0,65.1,3.8,1.54,0,1,4.2,0,1,31.0,0
215.0,7.0,77.9,1.8,4.33,0,1,4.7,0,0,31.0,2
236.0,9.0,52.1,0.0,2.56,1,0,1.0,1,1,21.0,0
252.0,4.0,59.1,2.4,4.33,0,1,6.6,1,0,23.0,1
219.0,8.0,93.7,4.4,2.23,1,0,4.4,1,1,21.0,1
246.0,9.0,71.0,2.6,2.61,1,1,7.4,1,1,23.0,1
207.0,7.0,61.4,4.5,1.78,2,1,4.9,1,0,23.0,0
217.0,8.0,81.4,3.4,3.32,1,1,1.3,1,0,28.0,1
